Type of Accommodation,Quantity
Hotel/resort/motel or motor Inn,"41,799"
Guest house or Bed & Breakfast,287
Rented house/apartment/flat or unit,"104,025"
Caravan park or commercial camping ground,"2,434"
Backpacker or hostel,"11,797"
Other commercial accommodation,"5,684"
Own property,"2,624"
Friends or relatives property,"89,255"
Caravan or camping - non commercial,"1,200"
Other Private Accommodation,"9,246"
Other Accomodation,"9,817"
