State,Interstate,Intrastate,Year,Month,,
South Australia,255,442,2023,April,,
Western Australia,131,965,2023,April,,
Tasmania,120,153,2023,April,,
Northern Territory,124,102,2023,April,,
Australian Capital Territory,245,165,2023,April,,
New South Wales,944,"1,952",2022,May,,
Victoria,610,"1,768",2022,May,,
Queensland,614,"1,492",2022,May,,
South Australia,240,377,2022,May,,
Western Australia,120,690,2022,May,,
Tasmania,134,143,2022,May,,
Northern Territory,111,112,2022,May,,
Australian Capital Territory,250,220,2022,May,,
New South Wales,829,"1,949",2023,May,,
Victoria,710,"1,475",2023,May,,
Queensland,577,"1,412",2023,May,,
South Australia,257,320,2023,May,,
Western Australia,128,645,2023,May,,
Tasmania,120,104,2023,May,,
Northern Territory,122,176,2023,May,,
Australian Capital Territory,299,287,2023,May,,
New South Wales,799,"1,734",2022,June,,
Victoria,591,"1,354",2022,June,,
Queensland,642,"1,563",2022,June,,
South Australia,195,350,2022,June,,
Western Australia,162,639,2022,June,,
Tasmania,109,143,2022,June,,
Northern Territory,126,123,2022,June,,
Australian Capital Territory,271,276,2022,June,,
New South Wales,897,"1,967",2023,June,,
Victoria,617,"1,530",2023,June,,
Queensland,522,"1,427",2023,June,,
South Australia,178,335,2023,June,,
Western Australia,210,625,2023,June,,
Tasmania,187,197,2023,June,,
Northern Territory,127,187,2023,June,,
Australian Capital Territory,255,267,2023,June,,
New South Wales,"1,039","2,112",2022,July,,
Victoria,661,"1,426",2022,July,,
Queensland,847,"1,546",2022,July,,
South Australia,223,426,2022,July,,
Western Australia,210,768,2022,July,,
Tasmania,198,93,2022,July,,
Northern Territory,189,98,2022,July,,
Australian Capital Territory,285,209,2022,July,,
New South Wales,992,"2,249",2023,July,,
Victoria,724,"1,560",2023,July,,
Queensland,793,"1,665",2023,July,,
South Australia,244,397,2023,July,,
Western Australia,128,729,2023,July,,
Tasmania,120,187,2023,July,,
Northern Territory,192,125,2023,July,,
Australian Capital Territory,320,310,2023,July,,
New South Wales,847,"1,713",2022,August,,
Victoria,553,"1,337",2022,August,,
